medalistID,Name,Sex,Age,Height,Weight,Team,NOC,Season,Sport,TopMedal,TotalMedals
16,Juhamatti Tapio Aaltonen,M,28,184,85,Finland,FIN,Winter,Ice Hockey,1,1
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,FIN,Summer,Gymnastics,3,5
20,Kjetil Andr Aamodt,M,20,176,85,Norway,NOR,Winter,Alpine Skiing,3,8
30,Pepijn Aardewijn,M,26,189,72,Netherlands,NED,Summer,Rowing,2,1
37,Ann Kristin Aarnes,F,23,182,64,Norway,NOR,Summer,Football,1,1
62,Giovanni Abagnale,M,21,198,90,Italy,ITA,Summer,Rowing,1,1
63,Jos Luis Abajo Gmez,M,30,194,87,Spain,ESP,Summer,Fencing,1,1
65,Patimat Abakarova,F,21,165,49,Azerbaijan,AZE,Summer,Taekwondo,1,1
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Russia,RUS,Summer,Athletics,2,1
72,Aleksey Aleksandrovich Abalmasov,M,28,180,83,Belarus,BLR,Summer,Canoeing,3,1
73,Luc Abalo,M,23,182,86,France,FRA,Summer,Handball,3,3
76,Jouan Patrice Abanda Etong,M,22,185,82,Cameroon,CMR,Summer,Football,3,1
80,Jos Mara Abarca Plotas,M,22,186,83,Spain,ESP,Summer,Water Polo,3,1
84,Stephen Anthony Abas,M,26,165,55,United States,USA,Summer,Wrestling,2,1
85,Alejandro Abascal Garca,M,28,181,82,Spain,ESP,Summer,Sailing,3,1
86,Jos Manuel Abascal Gmez,M,26,182,67,Spain,ESP,Summer,Athletics,1,1
90,Tamila Rashidovna Abasova,F,21,163,60,Russia,RUS,Summer,Cycling,2,1
93,Jol Marc Abati,M,38,190,85,France,FRA,Summer,Handball,3,1
99,Pter Abay,M,30,181,79,Hungary,HUN,Summer,Fencing,2,1
106,Agostino Abbagnale,M,22,188,96,Italy,ITA,Summer,Rowing,3,3
107,Carmine Abbagnale,M,22,182,90,Italy,ITA,Summer,Rowing,3,3
108,Giuseppe Abbagnale,M,25,187,97,Italy,ITA,Summer,Rowing,3,3
143,"Desmond ""Des"" Abbott",M,21,184,87,Australia,AUS,Summer,Hockey,1,1
145,Jeremy Abbott,M,28,175,70,United States,USA,Winter,Figure Skating,1,1
153,Monica Cecilia Abbott,F,23,191,88,United States,USA,Summer,Softball,2,1
165,Nia Nicole Abdallah,F,20,175,56,United States,USA,Summer,Taekwondo,2,1
250,Saeid Morad Abdevali,M,26,170,80,Iran,IRI,Summer,Wrestling,1,1
259,Reema Abdo,F,21,173,59,Canada,CAN,Summer,Swimming,1,1
297,Lala Abdul Rashid,M,38,169,91,Pakistan,PAK,Summer,Hockey,3,1
298,Muhammad Abdul Rashid,M,23,181,72,Pakistan,PAK,Summer,Hockey,2,1
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62,Soviet Union,URS,Summer,Wrestling,3,1
337,Mukhammad Kadyr Abdullayev,M,26,169,63,Uzbekistan,UZB,Summer,Boxing,3,1
339,Namiq Yadulla Abdullayev,M,25,167,55,Azerbaijan,AZE,Summer,Wrestling,3,2
351,Julius Shareef Abdur-Rahim,M,23,202,104,United States,USA,Summer,Basketball,3,1
357,Yusup Abdusalomov,M,30,170,84,Tajikistan,TJK,Summer,Wrestling,2,1
359,Andrey Khakimovich Abduvaliyev,M,26,190,125,Unified Team,EUN,Summer,Athletics,3,1
367,Masashi Abe,M,28,175,64,Japan,JPN,Winter,Nordic Combined,3,1
379,Addis Abebe,M,21,160,50,Ethiopia,ETH,Summer,Athletics,1,1
391,Clarence John Abel,M,23,185,102,United States,USA,Winter,Ice Hockey,2,1
394,Irene Abel,F,19,160,48,East Germany,GDR,Summer,Gymnastics,2,1
395,Jennifer Abel,F,20,160,62,Canada,CAN,Summer,Diving,1,1
411,Gezahgne Abera,M,22,166,58,Ethiopia,ETH,Summer,Athletics,3,1
416,Nils Georg berg,M,19,181,78,Sweden,SWE,Summer,Athletics,2,2
423,Michael Brent Abernathy,M,22,182,84,United States,USA,Summer,Baseball,3,1
428,Elvan Abeylegesse,F,25,159,40,Turkey,TUR,Summer,Athletics,2,1
443,Ismail Abilov (-Nizamolu),M,29,172,82,Bulgaria,BUL,Summer,Wrestling,3,1
454,"Edgar Allen ""Ed"" Ablowich",M,19,182,68,United States,USA,Summer,Athletics,3,1
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,RUS,Summer,Gymnastics,2,5
460,Viktor Andreyevich Aboimov,M,22,190,78,Soviet Union,URS,Summer,Swimming,2,2
465,"Matthew ""Matt"" Abood",M,30,197,92,Australia,AUS,Summer,Swimming,1,1
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87,Egypt,EGY,Summer,Fencing,2,1
507,Attila brahm,M,21,192,88,Hungary,HUN,Summer,Canoeing,3,3
509,Gary Abraham,M,21,175,64,Great Britain,GBR,Summer,Swimming,1,1
514,Ara Abrahamian,M,29,191,84,Sweden,SWE,Summer,Wrestling,2,1
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,GBR,Summer,Athletics,3,2
527,Erik Adolf Efraim Abrahamsson,M,22,172,61,Sweden,SWE,Summer,Athletics,1,1
543,Pavel Sergeyevich Abramov,M,25,198,89,Russia,RUS,Summer,Volleyball,1,1
547,Nelli Mikhaylovna Abramova,F,24,171,60,Soviet Union,URS,Summer,Volleyball,2,1
548,Yekaterina Konstantinovna Abramova,F,23,167,65,Russia,RUS,Winter,Speed Skating,1,1
576,"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Spain,ESP,Summer,Basketball,1,1
580,Svetlana Olegovna Abrosimova,F,28,188,77,Russia,RUS,Summer,Basketball,1,1
582,Saypulla Atavovich Absaidov,M,22,168,68,Soviet Union,URS,Summer,Wrestling,3,1
583,Julien Absalon,M,23,180,68,France,FRA,Summer,Cycling,3,2
608,Ahmad Abughaush,M,20,178,68,Jordan,JOR,Summer,Taekwondo,3,1
610,Ginko Abukawa-Chiba,F,26,148,46,Japan,JPN,Summer,Gymnastics,1,1
618,Aleksandr Veniaminovich Abushakhmetov,M,25,189,81,Soviet Union,URS,Summer,Fencing,1,1
619,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62,Soviet Union,URS,Summer,Wrestling,3,1
627,Andreea Roxana Acatrinei,F,16,150,40,Romania,ROU,Summer,Gymnastics,1,1
629,William Accambray,M,24,194,104,France,FRA,Summer,Handball,3,1
634,Paul Accola,M,20,176,82,Switzerland,SUI,Winter,Alpine Skiing,1,1
646,Anibl Santiago Acevedo,M,21,176,67,Puerto Rico,PUR,Summer,Boxing,1,1
654,Daniel Aceves Villagrn,M,19,158,52,Mexico,MEX,Summer,Wrestling,2,1
669,Joachim Yaw Acheampong,M,18,181,73,Ghana,GHA,Summer,Football,1,1
670,Alfred Achermann,M,24,176,75,Switzerland,SUI,Summer,Cycling,2,1
673,Abdel Hak Achik,M,29,165,54,Morocco,MAR,Summer,Boxing,1,1
674,Mohamed Abdelhak Achik,M,27,174,57,Morocco,MAR,Summer,Boxing,1,1
680,Rita Nikolayevna Achkina,F,30,168,63,Soviet Union,URS,Winter,Cross Country Skiing,1,1
690,Chantal Achterberg,F,27,172,72,Netherlands,NED,Summer,Rowing,2,2
698,Paul Douglas Ackerley,M,27,179,68,New Zealand,NZL,Summer,Hockey,3,1
702,Ronny Ackermann,M,24,184,69,Germany,GER,Winter,Nordic Combined,2,3
705,Donat Acklin,M,26,190,99,Switzerland-1,SUI,Winter,Bobsleigh,3,4
706,Guido Acklin,M,24,200,104,Switzerland-2,SUI,Winter,Bobsleigh,2,1
716,Lautaro Germn Acosta,M,20,168,72,Argentina,ARG,Summer,Football,3,1
723,Osmay Acosta Duarte,M,23,188,91,Cuba,CUB,Summer,Boxing,1,1
745,Kazimierz Piotr Adach,M,23,162,60,Poland,POL,Summer,Boxing,1,1
766,Ji Adam,M,25,187,83,Czechoslovakia,TCH,Summer,Modern Pentathlon,2,1
772,"Michael B. ""Mike"" Adam",M,24,175,95,Canada,CAN,Winter,Curling,3,1
785,Dariusz Adamczuk,M,22,179,78,Poland,POL,Summer,Football,2,1
807,"Benjamin Willard ""Ben"" Adams",M,22,188,78,United States,USA,Summer,Athletics,2,2
830,Adrian Neil Adams,M,21,178,78,Great Britain,GBR,Summer,Judo,2,2
832,Nicola Virginia Adams,F,29,164,51,Great Britain,GBR,Summer,Boxing,3,2
836,Platt Adams,M,27,188,78,United States,USA,Summer,Athletics,3,2
837,Rachael Alexis Adams,F,26,188,81,United States,USA,Summer,Volleyball,1,1
840,"Victoria ""Vicki"" Adams",F,24,164,69,Great Britain,GBR,Winter,Curling,1,1
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,New Zealand,NZL,Summer,Athletics,3,3
849,Filip Kamil Adamski,M,29,189,87,Germany,GER,Summer,Rowing,3,1
851,Jerzy Adamski,M,23,171,58,Poland,POL,Summer,Boxing,2,1
882,Simon Addo,M,17,180,79,Ghana,GHA,Summer,Football,1,1
896,Olubayo Adefemi,M,22,181,82,Nigeria,NGR,Summer,Football,2,1
908,"Ayodele ""Dele"" Adeleye",M,19,190,80,Nigeria,NGR,Summer,Football,2,1
918,Ademir Roque Kaefer,M,24,179,74,Brazil,BRA,Summer,Football,2,2
923,Olapade Charles Adeniken,M,22,186,78,Nigeria,NGR,Summer,Athletics,2,1
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,Brazil,BRA,Summer,Volleyball,3,1
953,Franck Adisson,M,23,180,70,France-1,FRA,Summer,Canoeing,3,2
956,"Richard ""Richy""  Adjei",M,27,190,110,Germany-2,GER,Winter,Bobsleigh,2,1
963,Derrick Ralph Adkins,M,26,188,80,United States,USA,Summer,Athletics,3,1
966,Daniel Adler,M,26,180,72,Brazil,BRA,Summer,Sailing,2,1
967,Egon Adler,M,23,172,62,Germany,GER,Summer,Cycling,2,1
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,GBR,Summer,Swimming,3,4
1000,Dainius Adomaitis,M,26,202,100,Lithuania,LTU,Summer,Basketball,1,1
1017,Nathan Ghar-Jun Adrian,M,19,198,100,United States,USA,Summer,Swimming,3,8
1020,Adriana Aparecida dos Santos,F,25,180,61,Brazil,BRA,Summer,Basketball,2,2
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21,170,65,Brazil,BRA,Summer,Basketball,1,1
1025,Attila Adrovicz,M,30,189,87,Hungary,HUN,Summer,Canoeing,2,1
1046,Klaus Aeffke,M,24,189,82,Germany,GER,Summer,Rowing,2,1
1071,Kseniya Dmitriyevna Afanasyeva,F,20,158,48,Russia,RUS,Summer,Gymnastics,2,1
1085,Maksim Sergeyevich Afinogenov,M,22,183,88,Russia,RUS,Winter,Ice Hockey,1,1
1088,"Olabisi ""Bisi"" Afolabi",F,20,180,62,Nigeria,NGR,Summer,Athletics,2,1
1094,Felicia Afrsiloaie (-Jitianu),F,22,178,70,Romania,ROU,Summer,Rowing,1,1
1095,Cecil Sebastian Afrika,M,28,175,75,South Africa,RSA,Summer,Rugby Sevens,1,1
1104,Muhammad Afzal Manna,M,25,173,76,Pakistan,PAK,Summer,Hockey,2,1
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,South Africa,RSA,Summer,Rugby Sevens,1,1
1109,Lavinia Agache (-Carney),F,16,148,40,Romania,ROU,Summer,Gymnastics,3,2
1114,Luca Agamennoni,M,24,187,93,Italy,ITA,Summer,Rowing,2,2
1122,Andre Kirk Agassi,M,26,180,80,United States,USA,Summer,Tennis,3,1
1131,Clarisse Agbegnenou,F,23,164,66,France,FRA,Summer,Judo,2,1
