Event,Season,Sport
Alpine Skiing Men's Combined,Winter,Alpine Skiing
Alpine Skiing Men's Downhill,Winter,Alpine Skiing
Alpine Skiing Men's Giant Slalom,Winter,Alpine Skiing
Alpine Skiing Men's Slalom,Winter,Alpine Skiing
Alpine Skiing Men's Super G,Winter,Alpine Skiing
Alpine Skiing Women's Combined,Winter,Alpine Skiing
Alpine Skiing Women's Downhill,Winter,Alpine Skiing
Alpine Skiing Women's Giant Slalom,Winter,Alpine Skiing
Alpine Skiing Women's Slalom,Winter,Alpine Skiing
Alpine Skiing Women's Super G,Winter,Alpine Skiing
Archery Men's Individual,Summer,Archery
Archery Men's Team,Summer,Archery
Archery Women's Individual,Summer,Archery
Archery Women's Team,Summer,Archery
"Art Competitions Mixed Architecture, Architectural Designs",Summer,Art Competitions
Art Competitions Mixed Literature,Summer,Art Competitions
"Art Competitions Mixed Literature, Unknown Event",Summer,Art Competitions
"Art Competitions Mixed Painting, Paintings",Summer,Art Competitions
"Art Competitions Mixed Painting, Unknown Event",Summer,Art Competitions
Art Competitions Mixed Sculpturing,Summer,Art Competitions
"Athletics Men's 1,500 metres",Summer,Athletics
"Athletics Men's 1,500 metres Walk",Summer,Athletics
"Athletics Men's 1,600 metres Medley Relay",Summer,Athletics
Athletics Men's 10 kilometres Walk,Summer,Athletics
Athletics Men's 10 mile Walk,Summer,Athletics
"Athletics Men's 10,000 metres",Summer,Athletics
Athletics Men's 100 metres,Summer,Athletics
Athletics Men's 110 metres Hurdles,Summer,Athletics
"Athletics Men's 2,500 metres Steeplechase",Summer,Athletics
"Athletics Men's 2,590 metres Steeplechase",Summer,Athletics
Athletics Men's 20 kilometres Walk,Summer,Athletics
Athletics Men's 200 metres,Summer,Athletics
Athletics Men's 200 metres Hurdles,Summer,Athletics
"Athletics Men's 3 mile, Team",Summer,Athletics
"Athletics Men's 3,000 metres Steeplechase",Summer,Athletics
"Athletics Men's 3,000 metres Walk",Summer,Athletics
"Athletics Men's 3,000 metres, Team",Summer,Athletics
"Athletics Men's 3,200 metres Steeplechase",Summer,Athletics
"Athletics Men's 3,500 metres Walk",Summer,Athletics
"Athletics Men's 4 mile, Team",Summer,Athletics
Athletics Men's 4 x 100 metres Relay,Summer,Athletics
Athletics Men's 4 x 400 metres Relay,Summer,Athletics
"Athletics Men's 4,000 metres Steeplechase",Summer,Athletics
Athletics Men's 400 metres,Summer,Athletics
Athletics Men's 400 metres Hurdles,Summer,Athletics
Athletics Men's 5 mile,Summer,Athletics
"Athletics Men's 5,000 metres",Summer,Athletics
"Athletics Men's 5,000 metres, Team",Summer,Athletics
Athletics Men's 50 kilometres Walk,Summer,Athletics
Athletics Men's 56-pound Weight Throw,Summer,Athletics
Athletics Men's 60 metres,Summer,Athletics
Athletics Men's 800 metres,Summer,Athletics
Athletics Men's All-Around Championship,Summer,Athletics
"Athletics Men's Cross-Country, Individual",Summer,Athletics
"Athletics Men's Cross-Country, Team",Summer,Athletics
Athletics Men's Decathlon,Summer,Athletics
Athletics Men's Discus Throw,Summer,Athletics
"Athletics Men's Discus Throw, Both Hands",Summer,Athletics
"Athletics Men's Discus Throw, Greek Style",Summer,Athletics
Athletics Men's Hammer Throw,Summer,Athletics
Athletics Men's High Jump,Summer,Athletics
Athletics Men's Javelin Throw,Summer,Athletics
"Athletics Men's Javelin Throw, Both Hands",Summer,Athletics
"Athletics Men's Javelin Throw, Freestyle",Summer,Athletics
Athletics Men's Long Jump,Summer,Athletics
Athletics Men's Marathon,Summer,Athletics
Athletics Men's Pentathlon,Summer,Athletics
Athletics Men's Pentathlon (Ancient),Summer,Athletics
Athletics Men's Pole Vault,Summer,Athletics
Athletics Men's Shot Put,Summer,Athletics
"Athletics Men's Shot Put, Both Hands",Summer,Athletics
Athletics Men's Standing High Jump,Summer,Athletics
Athletics Men's Standing Long Jump,Summer,Athletics
Athletics Men's Standing Triple Jump,Summer,Athletics
Athletics Men's Stone Throw,Summer,Athletics
Athletics Men's Triple Jump,Summer,Athletics
"Athletics Women's 1,500 metres",Summer,Athletics
Athletics Women's 10 kilometres Walk,Summer,Athletics
"Athletics Women's 10,000 metres",Summer,Athletics
Athletics Women's 100 metres,Summer,Athletics
Athletics Women's 100 metres Hurdles,Summer,Athletics
Athletics Women's 20 kilometres Walk,Summer,Athletics
Athletics Women's 200 metres,Summer,Athletics
"Athletics Women's 3,000 metres",Summer,Athletics
"Athletics Women's 3,000 metres Steeplechase",Summer,Athletics
Athletics Women's 4 x 100 metres Relay,Summer,Athletics
Athletics Women's 4 x 400 metres Relay,Summer,Athletics
Athletics Women's 400 metres,Summer,Athletics
Athletics Women's 400 metres Hurdles,Summer,Athletics
"Athletics Women's 5,000 metres",Summer,Athletics
Athletics Women's 80 metres Hurdles,Summer,Athletics
Athletics Women's 800 metres,Summer,Athletics
Athletics Women's Discus Throw,Summer,Athletics
Athletics Women's Hammer Throw,Summer,Athletics
Athletics Women's Heptathlon,Summer,Athletics
Athletics Women's High Jump,Summer,Athletics
Athletics Women's Javelin Throw,Summer,Athletics
Athletics Women's Long Jump,Summer,Athletics
Athletics Women's Marathon,Summer,Athletics
Athletics Women's Pentathlon,Summer,Athletics
Athletics Women's Pole Vault,Summer,Athletics
Athletics Women's Shot Put,Summer,Athletics
Athletics Women's Triple Jump,Summer,Athletics
Badminton Men's Doubles,Summer,Badminton
Badminton Men's Singles,Summer,Badminton
Badminton Mixed Doubles,Summer,Badminton
Badminton Women's Doubles,Summer,Badminton
Badminton Women's Singles,Summer,Badminton
Baseball Men's Baseball,Summer,Baseball
Basketball Men's Basketball,Summer,Basketball
Basketball Women's Basketball,Summer,Basketball
Beach Volleyball Men's Beach Volleyball,Summer,Beach Volleyball
Beach Volleyball Women's Beach Volleyball,Summer,Beach Volleyball
Biathlon Men's 10 kilometres Sprint,Winter,Biathlon
Biathlon Men's 12.5 kilometres Pursuit,Winter,Biathlon
Biathlon Men's 15 kilometres Mass Start,Winter,Biathlon
Biathlon Men's 20 kilometres,Winter,Biathlon
Biathlon Men's 4 x 7.5 kilometres Relay,Winter,Biathlon
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,Biathlon
Biathlon Women's 10 kilometres Pursuit,Winter,Biathlon
Biathlon Women's 12.5 kilometres Mass Start,Winter,Biathlon
Biathlon Women's 15 kilometres,Winter,Biathlon
Biathlon Women's 3 x 7.5 kilometres Relay,Winter,Biathlon
Biathlon Women's 4 x 6 kilometres Relay,Winter,Biathlon
Biathlon Women's 4 x 7.5 kilometres Relay,Winter,Biathlon
Biathlon Women's 7.5 kilometres Sprint,Winter,Biathlon
Bobsleigh Men's Four,Winter,Bobsleigh
Bobsleigh Men's Four/Five,Winter,Bobsleigh
Bobsleigh Men's Two,Winter,Bobsleigh
