ID,Year,Event,Medal
16,2014,Ice Hockey Men's Ice Hockey,Bronze
20,1992,Alpine Skiing Men's Downhill,NA
20,1992,Alpine Skiing Men's Super G,Gold
20,1992,Alpine Skiing Men's Giant Slalom,Bronze
20,1992,Alpine Skiing Men's Slalom,NA
20,1994,Alpine Skiing Men's Downhill,Silver
20,1994,Alpine Skiing Men's Super G,Bronze
20,1994,Alpine Skiing Men's Giant Slalom,NA
20,1994,Alpine Skiing Men's Slalom,NA
20,1994,Alpine Skiing Men's Combined,Silver
20,1998,Alpine Skiing Men's Downhill,NA
20,1998,Alpine Skiing Men's Super G,NA
20,1998,Alpine Skiing Men's Giant Slalom,NA
20,1998,Alpine Skiing Men's Combined,NA
20,2002,Alpine Skiing Men's Downhill,NA
20,2002,Alpine Skiing Men's Super G,Gold
20,2002,Alpine Skiing Men's Giant Slalom,NA
20,2002,Alpine Skiing Men's Slalom,NA
20,2002,Alpine Skiing Men's Combined,Gold
20,2006,Alpine Skiing Men's Downhill,NA
20,2006,Alpine Skiing Men's Super G,Gold
30,1996,Rowing Men's Lightweight Double Sculls,Silver
30,2000,Rowing Men's Lightweight Double Sculls,NA
37,1996,Football Women's Football,Bronze
62,2016,Rowing Men's Coxless Pairs,Bronze
63,2008,"Fencing Men's epee, Individual",Bronze
65,2016,Taekwondo Women's Flyweight,Bronze
67,2008,Athletics Women's Javelin Throw,Silver
67,2012,Athletics Women's Javelin Throw,NA
72,2004,"Canoeing Men's Kayak Fours, 1,000 metres",NA
72,2008,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
73,2008,Handball Men's Handball,Gold
73,2012,Handball Men's Handball,Gold
73,2016,Handball Men's Handball,Silver
76,2000,Football Men's Football,Gold
80,1996,Water Polo Men's Water Polo,Gold
84,2004,"Wrestling Men's Featherweight, Freestyle",Silver
85,1976,Sailing Mixed Two Person Heavyweight Dinghy,NA
85,1980,Sailing Mixed Two Person Heavyweight Dinghy,Gold
85,1984,Sailing Mixed Two Person Heavyweight Dinghy,NA
86,1980,"Athletics Men's 1,500 metres",NA
86,1984,"Athletics Men's 1,500 metres",Bronze
90,2004,Cycling Women's Sprint,Silver
90,2004,Cycling Women's 500 metres Time Trial,NA
93,2004,Handball Men's Handball,NA
93,2008,Handball Men's Handball,Gold
99,1992,"Fencing Men's Sabre, Team",Silver
106,1988,Rowing Men's Quadruple Sculls,Gold
106,1996,Rowing Men's Double Sculls,Gold
106,2000,Rowing Men's Quadruple Sculls,Gold
107,1984,Rowing Men's Coxed Pairs,Gold
107,1988,Rowing Men's Coxed Pairs,Gold
107,1992,Rowing Men's Coxed Pairs,Silver
107,1996,Rowing Men's Coxed Eights,NA
108,1980,Rowing Men's Coxed Pairs,NA
108,1984,Rowing Men's Coxed Pairs,Gold
108,1988,Rowing Men's Coxed Pairs,Gold
108,1992,Rowing Men's Coxed Pairs,Silver
143,2008,Hockey Men's Hockey,Bronze
145,2010,Figure Skating Men's Singles,NA
145,2014,Figure Skating Men's Singles,NA
145,2014,Figure Skating Mixed Team,Bronze
153,2008,Softball Women's Softball,Silver
165,2004,Taekwondo Women's Featherweight,Silver
250,2012,"Wrestling Men's Welterweight, Greco-Roman",NA
250,2016,"Wrestling Men's Middleweight, Greco-Roman",Bronze
259,1984,Swimming Women's 100 metres Backstroke,NA
259,1984,Swimming Women's 200 metres Backstroke,NA
259,1984,Swimming Women's 4 x 100 metres Medley Relay,Bronze
297,1960,Hockey Men's Hockey,Gold
298,1964,Hockey Men's Hockey,Silver
316,1972,"Wrestling Men's Featherweight, Freestyle",Gold
337,1996,Boxing Men's Lightweight,NA
337,2000,Boxing Men's Light-Welterweight,Gold
339,1996,"Wrestling Men's Flyweight, Freestyle",Silver
339,2000,"Wrestling Men's Bantamweight, Freestyle",Gold
339,2004,"Wrestling Men's Featherweight, Freestyle",NA
351,2000,Basketball Men's Basketball,Gold
357,2004,"Wrestling Men's Middleweight, Freestyle",NA
357,2008,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
357,2012,"Wrestling Men's Light-Heavyweight, Freestyle",NA
359,1992,Athletics Men's Hammer Throw,Gold
359,2000,Athletics Men's Hammer Throw,NA
367,1988,Nordic Combined Men's Team,NA
